volatile_acidity,sulphates,citric_acid,alcohol,quality
0.7,0.56,0,9.4,5
0.88,0.68,0,9.8,5
0.76,0.65,0.04,9.8,5
0.28,0.58,0.56,9.8,6
0.7,0.56,0,9.4,5
0.66,0.56,0,9.4,5
0.6,0.46,0.06,9.4,5
0.65,0.47,0,10,7
0.58,0.57,0.02,9.5,7
0.5,0.8,0.36,10.5,5
0.58,0.54,0.08,9.2,5
0.5,0.8,0.36,10.5,5
0.615,0.52,0,9.9,5
0.61,1.56,0.29,9.1,5
0.62,0.88,0.18,9.2,5
0.62,0.93,0.19,9.2,5
0.28,0.75,0.56,10.5,7
0.56,1.28,0.28,9.3,5
0.59,0.5,0.08,9,4
0.32,1.08,0.51,9.2,6
0.22,0.53,0.48,9.4,6
0.39,0.65,0.31,9.7,5
0.43,0.91,0.21,9.5,5
0.49,0.53,0.11,9.4,5
0.4,0.63,0.14,9.7,6
0.39,0.56,0.16,9.3,5
0.41,0.59,0.24,9.5,5
0.43,0.91,0.21,9.5,5
0.71,0.55,0,9.4,5
0.645,0.59,0,9.8,6
0.675,0.54,0.07,10.1,5
0.685,0.57,0,10.6,6
0.655,0.66,0.12,9.8,5
0.605,0.52,0.12,9.4,6
0.32,0.55,0.25,9.2,5
0.645,0.55,0,9.6,6
0.6,0.6,0.14,10.8,6
0.38,0.73,0.28,9.7,7
1.13,0.48,0.09,9.8,4
0.45,0.83,0.36,10.5,5
0.45,0.83,0.36,10.5,5
0.61,0.51,0.3,9.3,4
0.49,0.9,0.2,10.5,6
0.66,1.2,0.22,10.3,5
0.67,0.52,0.02,9.5,5
0.52,0.56,0.15,13.1,4
0.935,0.73,0.43,9.2,5
0.29,0.58,0.52,9.5,5
0.4,0.56,0.23,9.2,5
0.31,0.58,0.37,9.2,5
0.66,0.74,0.26,9.2,5
0.52,0.63,0.04,9.4,6
0.5,0.64,0.04,9.4,6
0.38,0.56,0.36,9.4,5
0.51,0.63,0.15,10.2,6
0.62,0.53,0.04,9.5,5
0.42,0.63,0.57,9.6,5
0.63,0.77,0.12,9.4,5
0.59,0.59,0.18,10,5
0.39,0.54,0.31,9.4,6
0.4,0.64,0.4,9.2,5
0.69,0.71,0.49,9.3,5
0.52,0.62,0.16,9.5,7
0.735,0.57,0.05,9.8,5
0.725,0.39,0.05,10.9,5
0.725,0.39,0.05,10.9,5
0.52,0.58,0.11,9.6,5
0.705,0.58,0.07,10.7,5
0.32,0.79,0.57,10.7,5
0.705,0.95,0.05,10.5,6
0.63,0.54,0.08,9.5,6
0.67,0.48,0.23,9.5,5
0.69,0.48,0.22,9.5,5
0.675,0.53,0.26,9.2,4
0.32,0.82,0.54,9.6,5
0.41,0.66,0.64,10.5,5
0.41,0.66,0.64,10.5,5
0.785,0.55,0,10.7,6
0.75,0.52,0.12,10.1,5
0.625,1.12,0.2,9.1,4
0.45,0.56,0.2,9.2,5
0.43,1.28,0.7,9.4,5
0.5,0.57,0.47,9.1,5
0.67,1.14,0.26,9.4,5
0.3,0.78,0.48,10.3,6
0.55,0.59,0.15,10.1,5
0.49,1.95,0.28,9.9,6
0.49,0.64,0.26,9.6,5
0.39,1.22,0.44,9.5,5
0.62,0.53,0.08,9,5
0.52,0.54,0.26,9.5,5
0.49,1.95,0.28,9.9,6
0.49,1.98,0.29,9.8,5
0.49,0.64,0.26,9.6,5
1.02,0.48,0.04,10.5,4
0.6,0.6,0.17,12.9,6
0.775,0.56,0,10.7,5
0.5,0.63,0.25,9.2,5
0.9,0.56,0.06,9.8,5
0.545,0.59,0.18,9,6
0.61,0.61,0.3,10.2,6
0.5,0.56,0.3,10.4,6
0.545,0.59,0.18,9,6
0.575,0.51,0.22,9.2,5
0.49,0.48,0.24,9.4,5
0.575,0.51,0.22,9.2,5
0.41,1.31,0.68,9.3,5
0.63,0.79,0.31,9.3,5
0.33,0.8,0.53,9.6,6
0.785,0.69,0.52,9.3,5
0.56,0.93,0.19,9.5,5
0.62,0.66,0.09,9.8,5
0.6,0.66,0.1,9.8,5
0.31,0.67,0.44,9.7,6
0.56,0.93,0.19,9.5,5
0.4,0.63,0.31,10.5,6
0.54,0.61,0.28,10,6
0.56,0.5,0.12,9.4,6
0.55,0.6,0.04,10.9,6
0.69,0.54,0.08,9.2,6
1.07,0.57,0.09,9,5
0.55,0.6,0.04,10.9,6
0.695,0.52,0,9.2,5
0.71,0.53,0,9.5,5
0.5,0.48,0.17,9.5,5
0.62,0.7,0.04,9.4,5
1.33,0.49,0,10.9,5
1.33,0.48,0,10.9,5
0.59,0.92,0.16,10.5,7
0.38,0.57,0.15,9.4,5
0.745,0.66,0.56,9.4,5
0.5,0.63,0.09,13,5
0.5,0.63,0.09,13,5
0.5,0.58,0.01,9.8,6
1.04,0.55,0.05,9.9,6
0.745,0.82,0.11,9.6,5
0.715,0.77,0.15,9.5,5
0.415,0.64,0.36,9.2,5
0.56,0.54,0.19,9.5,5
0.56,0.54,0.19,9.5,5
0.745,0.82,0.11,9.6,5
0.715,0.77,0.15,9.5,5
0.34,0.79,0,14,6
0.39,0.58,0.08,9.4,5
0.34,0.79,0,14,6
0.67,0.62,0.55,9.4,5
0.68,0.52,0.02,10,5
0.49,0.8,0.26,9.3,5
0.49,0.58,0.1,10.2,6
0.4,0.61,0.44,10.5,6
0.33,0.53,0.47,10.3,6
0.52,2,1,9.4,4
0.6,0.54,0.03,10.1,5
0.6,0.54,0.03,10.1,5
0.43,0.72,0.42,10.5,5
0.43,0.71,0.42,10.5,5
0.43,0.72,0.42,10.5,5
0.43,0.71,0.42,10.5,5
0.68,0.5,0,9.3,5
